ID,FromStationName,ToStationName
SEA00398,2nd Ave & Spring St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00152,Westlake Ave & 6th Ave,Union St & 4th Ave
SEA00080,7th Ave & Union St,E Blaine St & Fairview Ave E
SEA00407,Lake Union Park / Valley St & Boren Ave N,E Blaine St & Fairview Ave E
SEA00309,E Harrison St & Broadway Ave E,Seattle University / E Columbia St & 12th Ave
SEA00253,UW Intramural Activities Building,NE Pacific St/UW Medical Center
SEA00284,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00263,Harvard Ave & E Pine St,Broadway and E Denny Way
SEA00480,Harvard Ave & E Pine St,Broadway and E Denny Way
SEA00377,PATH / 9th Ave & Westlake Ave,2nd Ave & Vine St
SEA00491,Union St & 4th Ave,1st Ave & Marion St
SEA00465,Westlake Ave & 6th Ave,Pier 69 / Alaskan Way & Clay St
SEA00429,Westlake Ave & 6th Ave,Pier 69 / Alaskan Way & Clay St
SEA00472,Lake Union Park / Valley St & Boren Ave N,Union St & 4th Ave
SEA00349,Lake Union Park / Valley St & Boren Ave N,Key Arena / 1st Ave N & Harrison St
SEA00166,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00437,2nd Ave & Spring St,9th Ave N & Mercer St
SEA00351,9th Ave N & Mercer St,Westlake Ave & 6th Ave
SEA00476,2nd Ave & Blanchard St,2nd Ave & Spring St
SEA00464,E Harrison St & Broadway Ave E,Broadway and E Denny Way
SEA00154,E Harrison St & Broadway Ave E,Broadway and E Denny Way
SEA00172,1st Ave & Marion St,1st Ave & Marion St
SEA00459,E Harrison St & Broadway Ave E,Westlake Ave & 6th Ave
SEA00306,E Harrison St & Broadway Ave E,Westlake Ave & 6th Ave
SEA00417,Key Arena / 1st Ave N & Harrison St,Lake Union Park / Valley St & Boren Ave N
SEA00460,Cal Anderson Park / 11th Ave & Pine St,Summit Ave & E Denny Way
SEA00158,Cal Anderson Park / 11th Ave & Pine St,12th Ave & E Mercer St
SEA00446,Summit Ave E & E Republican St,Key Arena / 1st Ave N & Harrison St
SEA00495,NE 42nd St & University Way NE,NE Pacific St/UW Medical Center
SEA00309,Seattle University / E Columbia St & 12th Ave,6th Ave & Blanchard St
SEA00179,PATH / 9th Ave & Westlake Ave,PATH / 9th Ave & Westlake Ave
SEA00152,Union St & 4th Ave,Republican St & Westlake Ave N
SEA00351,Westlake Ave & 6th Ave,Thomas St & 5th Ave N
SEA00365,PATH / 9th Ave & Westlake Ave,PATH / 9th Ave & Westlake Ave
SEA00148,Union St & 4th Ave,Westlake Ave & 6th Ave
SEA00112,9th Ave N & Mercer St,Pier 69 / Alaskan Way & Clay St
SEA00437,9th Ave N & Mercer St,Pier 69 / Alaskan Way & Clay St
SEA00059,Occidental Park / Occidental Ave S & S Washington St,2nd Ave & Spring St
SEA00001,Occidental Park / Occidental Ave S & S Washington St,Occidental Park / Occidental Ave S & S Washington St
SEA00074,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00015,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00023,Occidental Park / Occidental Ave S & S Washington St,3rd Ave & Broad St
SEA00475,Occidental Park / Occidental Ave S & S Washington St,3rd Ave & Broad St
SEA00209,Westlake Ave & 6th Ave,6th Ave S & S King St
SEA00451,Occidental Park / Occidental Ave S & S Washington St,2nd Ave & Spring St
SEA00338,Key Arena / 1st Ave N & Harrison St,2nd Ave & Vine St
SEA00256,Westlake Ave & 6th Ave,1st Ave & Marion St
SEA00104,PATH / 9th Ave & Westlake Ave,2nd Ave & Vine St
SEA00191,3rd Ave & Broad St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
SEA00030,3rd Ave & Broad St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
SEA00039,6th Ave S & S King St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00039,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2nd Ave & Vine St
SEA00332,Seattle University / E Columbia St & 12th Ave,PATH / 9th Ave & Westlake Ave
SEA00167,E Pine St & 16th Ave,Harvard Ave & E Pine St
SEA00021,2nd Ave & Vine St,Westlake Ave & 6th Ave
SEA00175,Cal Anderson Park / 11th Ave & Pine St,2nd Ave & Vine St
SEA00060,Cal Anderson Park / 11th Ave & Pine St,NE 47th St & 12th Ave NE
SEA00480,Broadway and E Denny Way,Cal Anderson Park / 11th Ave & Pine St
SEA00424,12th Ave & E Mercer St,Cal Anderson Park / 11th Ave & Pine St
SEA00275,E Pine St & 16th Ave,Union St & 4th Ave
SEA00158,12th Ave & E Mercer St,Summit Ave & E Denny Way
SEA00478,Key Arena / 1st Ave N & Harrison St,Republican St & Westlake Ave N
SEA00494,NE Pacific St/UW Medical Center,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE
SEA00461,Bellevue Ave & E Pine St,Westlake Ave & 6th Ave
SEA00475,3rd Ave & Broad St,PATH / 9th Ave & Westlake Ave
SEA00087,Terry Ave & Stewart St,Terry Ave & Stewart St
SEA00364,Summit Ave E & E Republican St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
SEA00394,E Pine St & 16th Ave,2nd Ave & Vine St
SEA00234,1st Ave & Marion St,Pier 69 / Alaskan Way & Clay St
SEA00268,E Pine St & 16th Ave,1st Ave & Marion St
SEA00258,Harvard Ave & E Pine St,Bellevue Ave & E Pine St
SEA00162,Harvard Ave & E Pine St,Bellevue Ave & E Pine St
SEA00411,E Pine St & 16th Ave,Westlake Ave & 6th Ave
SEA00081,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,2nd Ave & Spring St
SEA00284,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St
SEA00402,NE 42nd St & University Way NE,NE Pacific St/UW Medical Center
SEA00403,15th Ave E & E Thomas St,Pine St & 9th Ave
SEA00038,12th Ave & E Mercer St,12th Ave & E Denny Way
SEA00413,Dexter Ave N & Aloha St,Terry Ave & Stewart St
SEA00435,12th Ave & E Denny Way,2nd Ave & Spring St
SEA00297,Summit Ave E & E Republican St,E Blaine St & Fairview Ave E
SEA00267,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,NE Pacific St/UW Medical Center
SEA00461,Westlake Ave & 6th Ave,Dexter Ave N & Aloha St
SEA00393,Bellevue Ave & E Pine St,2nd Ave & Spring St
SEA00351,Thomas St & 5th Ave N,Lake Union Park / Valley St & Boren Ave N
SEA00158,Summit Ave & E Denny Way,Bellevue Ave & E Pine St
SEA00083,Terry Ave & Stewart St,Dexter Ave N & Aloha St
SEA00413,Terry Ave & Stewart St,Dexter Ave N & Aloha St
SEA00407,E Blaine St & Fairview Ave E,City Hall / 4th Ave & James St
SEA00321,Occidental Park / Occidental Ave S & S Washington St,Pier 69 / Alaskan Way & Clay St
SEA00215,Dexter Ave N & Aloha St,E Blaine St & Fairview Ave E
SEA00465,Pier 69 / Alaskan Way & Clay St,2nd Ave & Spring St
SEA00242,15th Ave E & E Thomas St,Union St & 4th Ave
SEA00194,3rd Ave & Broad St,6th Ave & Blanchard St
SEA00380,Union St & 4th Ave,Thomas St & 5th Ave N
SEA00307,Pier 69 / Alaskan Way & Clay St,1st Ave & Marion St
SEA00482,15th Ave E & E Thomas St,2nd Ave & Pine St
SEA00471,12th Ave & NE Campus Pkwy,3rd Ave & Broad St
SEA00111,Summit Ave E & E Republican St,9th Ave N & Mercer St
SEA00175,2nd Ave & Vine St,Terry Ave & Stewart St
SEA00349,Key Arena / 1st Ave N & Harrison St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
SEA00405,12th Ave & E Denny Way,City Hall / 4th Ave & James St
SEA00493,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,Pier 69 / Alaskan Way & Clay St
SEA00494,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,UW Intramural Activities Building
SEA00411,Westlake Ave & 6th Ave,2nd Ave & Vine St
SEA00316,Summit Ave & E Denny Way,7th Ave & Union St
SEA00258,Bellevue Ave & E Pine St,Westlake Ave & 6th Ave
SEA00478,Republican St & Westlake Ave N,2nd Ave & Blanchard St
SEA00025,12th Ave & E Denny Way,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
SEA00062,Summit Ave & E Denny Way,Thomas St & 5th Ave N
SEA00389,Summit Ave & E Denny Way,3rd Ave & Broad St
SEA00424,Cal Anderson Park / 11th Ave & Pine St,Broadway and E Denny Way
SEA00370,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,NE Pacific St/UW Medical Center
SEA00371,E Pine St & 16th Ave,Summit Ave & E Denny Way
SEA00340,12th Ave & E Yesler Way,PATH / 9th Ave & Westlake Ave
SEA00453,15th Ave E & E Thomas St,Westlake Ave & 6th Ave
SEA00420,City Hall / 4th Ave & James St,Republican St & Westlake Ave N
SEA00082,E Pine St & 16th Ave,REI / Yale Ave N & John St
SEA00103,15th Ave E & E Thomas St,Cal Anderson Park / 11th Ave & Pine St
SEA00056,E Pine St & 16th Ave,Cal Anderson Park / 11th Ave & Pine St
SEA00133,Summit Ave E & E Republican St,Union St & 4th Ave
SEA00478,2nd Ave & Blanchard St,Terry Ave & Stewart St
SEA00174,Summit Ave E & E Republican St,REI / Yale Ave N & John St
SEA00332,PATH / 9th Ave & Westlake Ave,Union St & 4th Ave
SEA00178,12th Ave & NE Campus Pkwy,Children's Hospital / Sandpoint Way NE & 40th Ave NE
SEA00238,6th Ave & Blanchard St,9th Ave N & Mercer St
SEA00327,Harvard Ave & E Pine St,Westlake Ave & 6th Ave
SEA00056,Cal Anderson Park / 11th Ave & Pine St,Occidental Park / Occidental Ave S & S Washington St
SEA00320,12th Ave & E Mercer St,Republican St & Westlake Ave N
SEA00200,Eastlake Ave E & E Allison St,15th Ave NE & NE 40th St
SEA00332,Union St & 4th Ave,1st Ave & Marion St
SEA00351,Lake Union Park / Valley St & Boren Ave N,Lake Union Park / Valley St & Boren Ave N
SEA00384,REI / Yale Ave N & John St,Dexter Ave N & Aloha St
SEA00194,6th Ave & Blanchard St,6th Ave & Blanchard St
SEA00083,Dexter Ave N & Aloha St,Westlake Ave & 6th Ave
SEA00125,NE 47th St & 12th Ave NE,Republican St & Westlake Ave N
SEA00285,15th Ave E & E Thomas St,7th Ave & Union St
SEA00404,Key Arena / 1st Ave N & Harrison St,1st Ave & Marion St
SEA00368,E Pine St & 16th Ave,6th Ave & Blanchard St
SEA00233,2nd Ave & Vine St,2nd Ave & Spring St
SEA00411,2nd Ave & Vine St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00385,Summit Ave E & E Republican St,Summit Ave & E Denny Way
SEA00124,Bellevue Ave & E Pine St,REI / Yale Ave N & John St
SEA00383,Summit Ave & E Denny Way,Pine St & 9th Ave
SEA00288,Cal Anderson Park / 11th Ave & Pine St,PATH / 9th Ave & Westlake Ave
SEA00432,Harvard Ave & E Pine St,Westlake Ave & 6th Ave
SEA00065,Eastlake Ave E & E Allison St,12th Ave & NE Campus Pkwy
SEA00175,Terry Ave & Stewart St,2nd Ave & Vine St
SEA00032,Cal Anderson Park / 11th Ave & Pine St,Pine St & 9th Ave
SEA00189,12th Ave & E Mercer St,Pine St & 9th Ave
SEA00290,NE 47th St & 12th Ave NE,E Blaine St & Fairview Ave E
SEA00060,NE 47th St & 12th Ave NE,E Blaine St & Fairview Ave E
SEA00049,NE 47th St & 12th Ave NE,E Blaine St & Fairview Ave E
SEA00097,REI / Yale Ave N & John St,2nd Ave & Pine St
SEA00203,12th Ave & E Mercer St,PATH / 9th Ave & Westlake Ave
SEA00182,6th Ave S & S King St,15th Ave E & E Thomas St
SEA00351,Lake Union Park / Valley St & Boren Ave N,Lake Union Park / Valley St & Boren Ave N
SEA00067,12th Ave & E Denny Way,Occidental Park / Occidental Ave S & S Washington St
SEA00219,Key Arena / 1st Ave N & Harrison St,9th Ave N & Mercer St
SEA00410,PATH / 9th Ave & Westlake Ave,Cal Anderson Park / 11th Ave & Pine St
SEA00193,2nd Ave & Blanchard St,Republican St & Westlake Ave N
SEA00290,E Blaine St & Fairview Ave E,Key Arena / 1st Ave N & Harrison St
SEA00060,E Blaine St & Fairview Ave E,Key Arena / 1st Ave N & Harrison St
SEA00138,E Blaine St & Fairview Ave E,Key Arena / 1st Ave N & Harrison St
SEA00472,Bellevue Ave & E Pine St,2nd Ave & Pine St
SEA00181,Republican St & Westlake Ave N,6th Ave & Blanchard St
SEA00335,Lake Union Park / Valley St & Boren Ave N,6th Ave & Blanchard St
SEA00207,Dexter Ave N & Aloha St,Terry Ave & Stewart St
SEA00220,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,NE 47th St & 12th Ave NE
SEA00158,Bellevue Ave & E Pine St,REI / Yale Ave N & John St
SEA00083,Westlake Ave & 6th Ave,Republican St & Westlake Ave N
SEA00371,Summit Ave & E Denny Way,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
SEA00274,E Pine St & 16th Ave,Pine St & 9th Ave
SEA00175,2nd Ave & Vine St,PATH / 9th Ave & Westlake Ave
SEA00338,E Harrison St & Broadway Ave E,PATH / 9th Ave & Westlake Ave
SEA00455,E Harrison St & Broadway Ave E,9th Ave N & Mercer St
SEA00096,12th Ave & E Mercer St,2nd Ave & Spring St
SEA00167,Harvard Ave & E Pine St,Key Arena / 1st Ave N & Harrison St
SEA00433,E Blaine St & Fairview Ave E,PATH / 9th Ave & Westlake Ave
SEA00072,Harvard Ave & E Pine St,Key Arena / 1st Ave N & Harrison St
SEA00282,Pier 69 / Alaskan Way & Clay St,Occidental Park / Occidental Ave S & S Washington St
SEA00113,Dexter Ave N & Aloha St,Terry Ave & Stewart St
SEA00377,E Harrison St & Broadway Ave E,Occidental Park / Occidental Ave S & S Washington St
SEA00429,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St
SEA00351,Lake Union Park / Valley St & Boren Ave N,Lake Union Park / Valley St & Boren Ave N
SEA00453,Westlake Ave & 6th Ave,Mercer St & 9th Ave N
SEA00197,2nd Ave & Pine St,2nd Ave & Pine St
SEA00223,E Pine St & 16th Ave,Eastlake Ave E & E Allison St
SEA00115,2nd Ave & Pine St,2nd Ave & Pine St
SEA00461,Dexter Ave N & Aloha St,Mercer St & 9th Ave N
SEA00478,Terry Ave & Stewart St,2nd Ave & Pine St
SEA00452,NE 47th St & 12th Ave NE,Seattle University / E Columbia St & 12th Ave
SEA00156,12th Ave & E Mercer St,Cal Anderson Park / 11th Ave & Pine St
SEA00137,2nd Ave & Blanchard St,Key Arena / 1st Ave N & Harrison St
SEA00031,2nd Ave & Blanchard St,Key Arena / 1st Ave N & Harrison St
SEA00389,3rd Ave & Broad St,Pier 69 / Alaskan Way & Clay St
